
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3d8cfbfa6.pomdpx
  loading time : 4.74s 

SARSOP initializing ...
  initialization time : 8383.62s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 8383.62 0       0        -297.027   -285.483   11.5436     101      1        
 8385    1       50       -294.369   -285.809   8.55977     14       20       
 8385.11 1       100      -291.967   -285.809   6.15862     6        20       
 8385.19 1       150      -291.967   -285.809   6.15862     15       21       
 8385.32 2       205      -290.739   -285.809   4.92974     3        22       
 8385.37 2       250      -290.739   -285.809   4.92974     18       22       
 8385.57 3       317      -289.799   -285.809   3.98973     10       25       
 8385.61 3       350      -289.799   -285.809   3.98973     14       25       
 8385.74 4       435      -289.158   -285.809   3.3493      14       25       
 8385.76 4       450      -289.158   -285.809   3.3493      18       25       
 8386.16 5       561      -288.734   -285.809   2.92512     16       30       
 8386.16 5       562      -288.734   -285.809   2.92512     17       30       
 8386.2  5       600      -288.734   -285.809   2.92512     23       30       
 8386.42 6       693      -288.453   -285.809   2.6446      9        32       
 8386.43 6       700      -288.453   -285.809   2.6446      16       32       
 8386.49 6       750      -288.453   -285.809   2.6446      14       32       
 8386.71 7       827      -288.272   -285.809   2.46347     24       35       
 8386.74 7       850      -288.272   -285.809   2.46347     20       35       
 8387.01 8       961      -288.074   -285.809   2.26525     27       38       
 8387.02 8       962      -288.074   -285.809   2.26525     28       38       
 8387.06 8       1000     -288.074   -285.809   2.26525     25       38       
 8387.26 9       1095     -287.903   -285.809   2.09369     28       39       
 8387.27 9       1100     -287.903   -285.809   2.09369     33       39       
 8387.33 9       1150     -287.903   -285.809   2.09369     15       39       
 8387.48 10      1229     -287.752   -285.809   1.94284     25       39       
 8387.52 10      1250     -287.752   -285.809   1.94284     24       39       
 8387.72 11      1363     -287.623   -285.809   1.81363     21       39       
 8387.72 11      1364     -287.623   -285.809   1.81363     22       39       
 8387.77 11      1400     -287.623   -285.809   1.81363     28       39       
 8388.17 12      1497     -287.506   -285.809   1.69699     21       44       
 8388.18 12      1500     -287.506   -285.809   1.69699     24       44       
 8388.24 12      1550     -287.506   -285.809   1.69699     24       44       
 8388.64 13      1631     -287.421   -285.809   1.61196     29       48       
 8388.67 13      1650     -287.421   -285.809   1.61196     24       48       
 8389.21 14      1767     -287.338   -285.809   1.52954     21       53       
 8389.22 14      1768     -287.338   -285.809   1.52954     22       53       
 8389.27 14      1800     -287.338   -285.809   1.52954     20       53       
 8389.84 15      1903     -287.262   -285.809   1.45312     26       58       
 8389.84 15      1904     -287.262   -285.809   1.45312     27       58       
 8389.9  15      1950     -287.262   -285.809   1.45312     13       58       
 8390.25 16      2039     -287.192   -285.809   1.38278     12       61       
 8390.27 16      2050     -287.192   -285.809   1.38278     10       61       
 8390.34 16      2100     -287.192   -285.809   1.38278     10       61       
 8390.91 17      2177     -287.113   -285.809   1.30431     10       66       
 8390.95 17      2200     -287.113   -285.809   1.30431     10       66       
 8391.53 18      2315     -287.059   -285.809   1.24963     12       71       
 8391.54 18      2316     -287.059   -285.809   1.24963     11       71       
 8391.6  18      2350     -287.059   -285.809   1.24963     10       71       
 8392    19      2453     -287       -285.809   1.19067     9        74       
 8392.01 19      2454     -287       -285.809   1.19067     10       74       
 8392.08 19      2500     -287       -285.809   1.19067     10       74       
 8392.48 20      2591     -286.951   -285.809   1.14202     11       77       
 8392.51 20      2600     -286.951   -285.809   1.14202     10       77       
 8392.58 20      2650     -286.951   -285.809   1.14202     11       77       
 8393.01 21      2731     -286.892   -285.809   1.08264     9        81       
 8393.05 21      2750     -286.892   -285.809   1.08264     8        81       
 8393.34 21      2800     -286.892   -285.809   1.08264     7        84       
