
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3d94f62da.pomdpx
  loading time : 4.70s 

SARSOP initializing ...
  initialization time : 6231.27s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 6231.27 0       0        -383.418   -380.311   3.10677     101      1        
 6234.32 1       85       -382.437   -380.422   2.01505     8        21       
 6235.43 1       100      -382.437   -380.422   2.01505     16       29       
 6237.6  2       181      -381.988   -380.422   1.5657      9        40       
 6238.65 2       200      -381.988   -380.422   1.5657      25       59       
 6240.66 3       271      -381.643   -380.422   1.22102     18       70       
 6240.74 3       300      -381.643   -380.422   1.22102     27       70       
 6241.07 4       369      -381.419   -380.422   0.996852    16       73       
 6241.96 4       400      -381.419   -380.422   0.996852    20       82       
 6242.73 5       483      -381.308   -380.422   0.886218    30       86       
 6244.69 5       500      -381.308   -380.422   0.886218    21       97       
 6253.27 6       601      -381.238   -380.422   0.815324    58       125      
 6253.42 6       602      -381.238   -380.422   0.815324    55       126      
 6260.54 6       650      -381.238   -380.422   0.815324    42       147      
 6263.67 7       713      -381.166   -380.422   0.744016    45       154      
 6266.02 7       750      -381.166   -380.422   0.744016    33       163      
 6269.05 8       827      -381.117   -380.422   0.694135    23       171      
 6270.64 8       850      -381.117   -380.422   0.694135    27       178      
 6271.68 9       939      -381.074   -380.422   0.651883    9        181      
 6272.71 9       950      -381.074   -380.422   0.651883    12       188      
 6274.03 10      1051     -381.027   -380.422   0.604721    14       193      
 6274.2  10      1052     -381.027   -380.422   0.604721    11       194      
 6275.12 10      1100     -381.027   -380.422   0.604721    10       199      
 6276.23 11      1165     -381       -380.423   0.577854    10       204      
 6277.81 11      1200     -381       -380.423   0.577854    15       212      
 6279.57 12      1279     -380.943   -380.423   0.520748    7        218      
 6281.08 12      1300     -380.943   -380.423   0.520748    9        225      
 6285.68 13      1403     -380.916   -380.423   0.49374     9        239      
 6285.89 13      1404     -380.916   -380.423   0.49374     10       240      
 6286.64 13      1450     -380.916   -380.423   0.49374     10       243      
 6290.18 14      1525     -380.884   -380.423   0.461277    10       254      
 6292.15 14      1550     -380.884   -380.423   0.461277    8        262      
 6300    15      1651     -380.86    -380.423   0.437255    9        282      
 6300.06 15      1652     -380.86    -380.423   0.437255    9        282      
 6301.71 15      1700     -380.86    -380.423   0.437255    11       288      
 6305.01 16      1775     -380.838   -380.423   0.415628    9        298      
 6306.43 16      1800     -380.838   -380.423   0.415628    11       304      
 6308.27 17      1897     -380.818   -380.423   0.394935    12       310      
 6308.33 17      1900     -380.818   -380.423   0.394935    9        310      
 6311.41 17      1950     -380.818   -380.423   0.394935    10       321      
 6313.96 18      2019     -380.799   -380.423   0.376427    11       329      
 6315.77 18      2050     -380.799   -380.423   0.376427    13       336      
 6318.9  19      2141     -380.782   -380.423   0.359211    10       346      
 6319.98 19      2150     -380.782   -380.423   0.359211    9        351      
 6321.62 19      2200     -380.782   -380.423   0.359211    9        356      
 6322.07 20      2261     -380.768   -380.423   0.344942    10       357      
 6324.66 20      2300     -380.768   -380.423   0.344942    8        367      
 6327.96 21      2381     -380.749   -380.423   0.326599    11       376      
 6329.58 21      2400     -380.749   -380.423   0.326599    8        382      
 6336.47 22      2503     -380.729   -380.423   0.305851    11       400      
 6336.78 22      2504     -380.729   -380.423   0.305851    11       401      
 6340.26 22      2550     -380.729   -380.423   0.305851    12       410      
 6343.91 23      2627     -380.714   -380.423   0.290533    11       417      
 6348.25 23      2650     -380.714   -380.423   0.290533    12       429      
 6351.42 24      2753     -380.703   -380.423   0.280503    11       436      
 6351.73 24      2754     -380.703   -380.423   0.280503    11       437      
 6353.67 24      2800     -380.703   -380.423   0.280503    11       443      
 6358.18 25      2877     -380.693   -380.423   0.270399    14       454      
 6360.14 25      2900     -380.693   -380.423   0.270399    12       460      
 6364.89 26      3001     -380.68    -380.423   0.256883    12       470      
 6365.22 26      3002     -380.68    -380.423   0.256883    13       471      
 6370.66 26      3050     -380.68    -380.423   0.256883    13       485      
 6375.76 27      3127     -380.671   -380.423   0.247881    13       495      
 6380.06 27      3150     -380.671   -380.423   0.247881    10       505      
 6387.8  28      3251     -380.659   -380.423   0.235708    10       518      
 6387.9  28      3252     -380.659   -380.423   0.235708    10       518      
 6394.91 28      3300     -380.659   -380.423   0.235708    10       537      
 6401.14 29      3377     -380.652   -380.423   0.228688    13       548      
 6403.73 29      3400     -380.652   -380.423   0.228688    11       554      
 6413.64 30      3501     -380.642   -380.423   0.218862    13       573      
 6414.1  30      3502     -380.642   -380.423   0.218862    13       574      
 6416.31 30      3550     -380.642   -380.423   0.218862    13       579      
 6422.56 31      3627     -380.634   -380.423   0.210723    11       589      
 6426.13 31      3650     -380.634   -380.423   0.210723    12       598      
 6436.82 32      3753     -380.627   -380.423   0.203435    13       616      
 6437.29 32      3754     -380.627   -380.423   0.203435    13       617      
 6440.09 32      3800     -380.627   -380.423   0.203435    11       623      
 6445.41 33      3879     -380.622   -380.423   0.19816     13       632      
 6447.88 33      3900     -380.622   -380.423   0.19816     14       638      
 6454.09 34      4003     -380.614   -380.423   0.190135    12       649      
 6454.22 34      4004     -380.614   -380.423   0.190135    13       649      
 6454.44 34      4050     -380.614   -380.423   0.190135    11       649      
 6456.78 35      4129     -380.604   -380.423   0.180603    11       655      
 6458.16 35      4150     -380.604   -380.423   0.180603    11       659      
 6472.3  36      4261     -380.6     -380.423   0.176145    14       686      
 6472.8  36      4262     -380.6     -380.423   0.176145    13       687      
 6477.07 36      4300     -380.6     -380.423   0.176145    13       695      
 6486.67 37      4389     -380.595   -380.424   0.171247    12       709      
 6490.2  37      4400     -380.595   -380.424   0.171247    14       717      
 6497.65 37      4450     -380.595   -380.424   0.171247    12       729      
 6499.65 38      4517     -380.59    -380.424   0.166426    14       731      
 6501.3  38      4550     -380.59    -380.424   0.166426    13       735      
 6504.88 39      4647     -380.587   -380.424   0.16301     11       741      
 6505.37 39      4650     -380.587   -380.424   0.16301     11       742      
 6511.42 39      4700     -380.587   -380.424   0.16301     13       755      
 6517.75 40      4775     -380.581   -380.424   0.15754     13       765      
 6517.95 40      4800     -380.581   -380.424   0.15754     13       765      
 6524.76 41      4903     -380.575   -380.424   0.15126     14       779      
 6525.32 41      4904     -380.575   -380.424   0.15126     15       780      
 6528.32 41      4950     -380.575   -380.424   0.15126     14       786      
 6534.95 42      5031     -380.57    -380.424   0.146082    17       796      
 6535.16 42      5050     -380.57    -380.424   0.146082    15       796      
 6540.84 43      5161     -380.566   -380.424   0.142575    16       807      
 6541.44 43      5162     -380.566   -380.424   0.142575    15       808      
 6546.53 43      5200     -380.566   -380.424   0.142575    15       817      
 6556.46 44      5291     -380.56    -380.424   0.13631     15       834      
 6560.13 44      5300     -380.56    -380.424   0.13631     12       841      
 6564.76 44      5350     -380.56    -380.424   0.13631     13       848      
 6569.05 45      5423     -380.556   -380.424   0.131943    15       854      
 6572.52 45      5450     -380.556   -380.424   0.131943    15       860      
 6582.09 46      5555     -380.553   -380.424   0.129037    15       874      
 6582.27 46      5556     -380.553   -380.424   0.129037    16       874      
 6583.92 46      5600     -380.553   -380.424   0.129037    18       877      
 6589.12 47      5687     -380.549   -380.424   0.125108    14       886      
 6591.43 47      5700     -380.549   -380.424   0.125108    16       891      
 6597.16 47      5750     -380.549   -380.424   0.125108    16       900      
 6599    48      5819     -380.546   -380.424   0.122669    16       902      
 6610.02 48      5850     -380.546   -380.424   0.122669    16       920      
 6617.06 49      5951     -380.543   -380.424   0.119499    19       930      
 6617.24 49      5952     -380.543   -380.424   0.119499    20       930      
 6619.16 49      6000     -380.543   -380.424   0.119499    23       934      
 6625.9  50      6081     -380.541   -380.424   0.117244    18       944      
