
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3df4226d3.pomdpx
  loading time : 4.70s 

SARSOP initializing ...
  initialization time : 9947.67s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 9947.67 0       0        -2590.36   -228.394   2361.97     101      1        
 9948.8  0       50       -2588.4    -2574.12   14.2822     43       12       
 9949.36 1       153      -2584.13   -2574.12   10.009      47       15       
 9949.36 1       154      -2584.13   -2574.12   10.009      48       15       
 9949.44 1       200      -2584.13   -2574.12   10.009      49       15       
 9949.93 2       331      -2582.41   -2574.12   8.29207     38       19       
 9949.93 2       332      -2582.41   -2574.12   8.29207     39       19       
 9949.97 2       350      -2582.41   -2574.12   8.29207     49       19       
 9950.05 2       400      -2582.41   -2574.12   8.29207     45       19       
 9950.48 3       517      -2581.65   -2574.12   7.5347      63       22       
 9950.48 3       518      -2581.65   -2574.12   7.5347      64       22       
 9950.55 3       550      -2581.65   -2574.12   7.5347      63       22       
 9950.66 3       600      -2581.65   -2574.12   7.5347      69       22       
 9951.23 4       701      -2580.83   -2574.12   6.71435     49       26       
 9951.24 4       702      -2580.83   -2574.12   6.71435     50       26       
 9951.33 4       750      -2580.83   -2574.12   6.71435     51       26       
 9951.84 5       887      -2580.37   -2574.12   6.25345     32       29       
 9951.85 5       888      -2580.37   -2574.12   6.25345     33       29       
 9951.87 5       900      -2580.37   -2574.12   6.25345     40       29       
 9951.97 5       950      -2580.37   -2574.12   6.25345     51       29       
 9952.46 6       1073     -2580.09   -2574.12   5.9742      58       31       
 9952.46 6       1074     -2580.09   -2574.12   5.9742      59       31       
 9952.52 6       1100     -2580.09   -2574.12   5.9742      63       31       
 9952.64 6       1150     -2580.09   -2574.12   5.9742      58       31       
 9953.41 7       1257     -2579.84   -2574.12   5.72382     73       35       
 9953.42 7       1258     -2579.84   -2574.12   5.72382     74       35       
 9953.52 7       1300     -2579.84   -2574.12   5.72382     84       35       
 9954.16 8       1437     -2579.64   -2574.12   5.52057     24       36       
 9954.17 8       1438     -2579.64   -2574.12   5.52057     22       36       
 9954.2  8       1450     -2579.64   -2574.12   5.52057     22       36       
 9954.28 8       1500     -2579.64   -2574.12   5.52057     22       36       
 9955.24 9       1615     -2579.49   -2574.12   5.37208     23       40       
 9955.25 9       1616     -2579.49   -2574.12   5.37208     24       40       
 9955.32 9       1650     -2579.49   -2574.12   5.37208     23       40       
 9955.74 9       1700     -2579.49   -2574.12   5.37208     20       42       
 9956.19 10      1791     -2578.79   -2574.12   4.6697      18       44       
 9956.21 10      1800     -2578.79   -2574.12   4.6697      16       44       
 9956.3  10      1850     -2578.79   -2574.12   4.6697      15       44       
 9956.68 11      1983     -2578.63   -2574.12   4.51144     13       45       
 9956.69 11      1984     -2578.63   -2574.12   4.51144     11       45       
 9956.72 11      2000     -2578.63   -2574.12   4.51144     11       45       
 9956.8  11      2050     -2578.63   -2574.12   4.51144     9        45       
 9957.57 12      2173     -2578.38   -2574.12   4.26186     7        50       
 9957.58 12      2174     -2578.38   -2574.12   4.26186     7        50       
 9957.62 12      2200     -2578.38   -2574.12   4.26186     7        50       
 9957.7  12      2250     -2578.38   -2574.12   4.26186     7        50       
 9958.54 13      2363     -2578.26   -2574.12   4.14496     8        55       
 9958.56 13      2364     -2578.26   -2574.12   4.14496     8        55       
 9958.62 13      2400     -2578.26   -2574.12   4.14496     7        55       
 9958.69 13      2450     -2578.26   -2574.12   4.14496     7        55       
 9959.66 14      2551     -2577.94   -2574.12   3.81636     6        60       
 9959.67 14      2552     -2577.94   -2574.12   3.81636     5        60       
 9959.75 14      2600     -2577.94   -2574.12   3.81636     6        60       
 9960.28 15      2745     -2577.83   -2574.12   3.71345     8        62       
 9960.29 15      2746     -2577.83   -2574.12   3.71345     8        62       
 9960.31 15      2750     -2577.83   -2574.12   3.71345     7        62       
 9960.39 15      2800     -2577.83   -2574.12   3.71345     7        62       
 9960.91 16      2937     -2577.67   -2574.12   3.55448     6        64       
 9960.93 16      2938     -2577.67   -2574.12   3.55448     5        64       
 9960.96 16      2950     -2577.67   -2574.12   3.55448     5        64       
 9961.03 16      3000     -2577.67   -2574.12   3.55448     5        64       
 9961.72 17      3129     -2577.57   -2574.12   3.44586     8        68       
 9961.74 17      3130     -2577.57   -2574.12   3.44586     7        68       
 9961.78 17      3150     -2577.57   -2574.12   3.44586     7        68       
 9961.86 17      3200     -2577.57   -2574.12   3.44586     7        68       
 9962.88 18      3317     -2577.47   -2574.12   3.34986     8        73       
 9962.9  18      3318     -2577.47   -2574.12   3.34986     7        73       
 9962.97 18      3350     -2577.47   -2574.12   3.34986     7        73       
 9963.05 18      3400     -2577.47   -2574.12   3.34986     7        73       
 9964.83 19      3505     -2577.36   -2574.12   3.24318     10       80       
 9964.85 19      3506     -2577.36   -2574.12   3.24318     9        80       
 9964.93 19      3550     -2577.36   -2574.12   3.24318     9        80       
 9965.48 20      3689     -2577.28   -2574.12   3.16283     8        81       
 9965.5  20      3690     -2577.28   -2574.12   3.16283     7        81       
 9965.54 20      3700     -2577.28   -2574.12   3.16283     7        81       
 9965.62 20      3750     -2577.28   -2574.12   3.16283     7        81       
 9966.1  21      3873     -2577.19   -2574.12   3.0686      9        82       
 9966.12 21      3874     -2577.19   -2574.12   3.0686      8        82       
 9966.18 21      3900     -2577.19   -2574.12   3.0686      9        82       
 9966.28 21      3950     -2577.19   -2574.12   3.0686      9        82       
 9966.99 22      4055     -2577.11   -2574.12   2.9866      10       84       
 9967.01 22      4056     -2577.11   -2574.12   2.9866      9        84       
 9967.09 22      4100     -2577.11   -2574.12   2.9866      10       84       
 9968.85 23      4235     -2577.04   -2574.12   2.9151      11       90       
 9968.88 23      4236     -2577.04   -2574.12   2.9151      10       90       
 9968.92 23      4250     -2577.04   -2574.12   2.9151      11       90       
 9969.01 23      4300     -2577.04   -2574.12   2.9151      11       90       
