
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3e14dbd602.pomdpx
  loading time : 4.50s 

SARSOP initializing ...
  initialization time : 4124.02s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 4124.02 0       0        -218.03    -212.881   5.14891     101      1        
 4125.77 1       65       -215.45    -213.032   2.41746     12       34       
 4127.56 2       125      -214.853   -213.032   1.82099     13       64       
 4128.49 2       150      -214.853   -213.032   1.82099     26       82       
 4129.69 3       200      -214.338   -213.032   1.30545     22       104      
 4130.94 4       251      -214.064   -213.032   1.032       18       119      
 4132.65 5       317      -213.832   -213.032   0.799252    28       152      
 4134.18 6       381      -213.645   -213.032   0.613005    26       177      
 4135.51 6       400      -213.645   -213.032   0.613005    30       194      
 4135.98 7       450      -213.529   -213.032   0.496667    28       198      
 4137.61 8       519      -213.447   -213.032   0.414859    44       214      
 4140.68 8       550      -213.447   -213.032   0.414859    37       244      
 4142.2  9       600      -213.382   -213.032   0.349433    37       261      
 4144.26 10      650      -213.328   -213.032   0.295857    25       277      
 4147.49 11      713      -213.287   -213.032   0.254869    34       307      
 4150.31 12      779      -213.241   -213.032   0.208212    37       340      
 4151.44 12      800      -213.241   -213.032   0.208212    34       354      
 4153.06 13      853      -213.21    -213.032   0.177967    23       369      
 4157.56 14      925      -213.186   -213.032   0.15387     26       401      
 4162.47 14      950      -213.186   -213.032   0.15387     23       426      
 4163.92 15      1001     -213.162   -213.032   0.129229    21       432      
 4173.04 16      1093     -213.15    -213.032   0.117922    30       474      
 4174.31 16      1100     -213.15    -213.032   0.117922    12       481      
 4178.91 17      1185     -213.138   -213.032   0.105601    16       502      
 4181.68 17      1200     -213.138   -213.032   0.105601    11       517      
 4184.7  18      1281     -213.13    -213.032   0.0971365   12       531      
 4187.71 18      1300     -213.13    -213.032   0.0971365   13       550      
 4192.9  19      1369     -213.123   -213.032   0.0908766   11       575      
 4196.85 19      1400     -213.123   -213.032   0.0908766   16       595      
 4199.22 20      1450     -213.116   -213.033   0.0833008   14       604      
 4203.7  21      1529     -213.108   -213.033   0.0752003   16       625      
 4208.32 21      1550     -213.108   -213.033   0.0752003   12       646      
 4210.89 22      1619     -213.102   -213.033   0.0693455   13       655      
 4215.76 22      1650     -213.102   -213.033   0.0693455   12       678      
 4219.56 23      1709     -213.096   -213.033   0.0634289   12       691      
 4227.34 23      1750     -213.096   -213.033   0.0634289   17       724      
 4229.64 24      1805     -213.092   -213.033   0.0591746   14       731      
 4238.37 24      1850     -213.092   -213.033   0.0591746   13       764      
 4239.7  25      1905     -213.089   -213.033   0.0562368   15       767      
 4245.4  25      1950     -213.089   -213.033   0.0562368   15       790      
 4247.69 26      2009     -213.086   -213.033   0.0536406   15       797      
 4253.59 26      2050     -213.086   -213.033   0.0536406   15       821      
 4257.12 27      2111     -213.084   -213.033   0.0512724   17       831      
 4263.33 27      2150     -213.084   -213.033   0.0512724   17       854      
 4266.52 28      2213     -213.081   -213.033   0.048721    17       864      
 4270.37 28      2250     -213.081   -213.033   0.048721    17       880      
 4272.74 29      2315     -213.079   -213.033   0.0462858   18       887      
 4279.07 29      2350     -213.079   -213.033   0.0462858   17       912      
 4284.82 30      2417     -213.076   -213.033   0.0436612   20       927      
 4295.27 30      2450     -213.076   -213.033   0.0436612   17       959      
 4304.59 31      2525     -213.074   -213.033   0.0417189   16       980      
 4309.88 31      2550     -213.074   -213.033   0.0417189   17       997      
 4317.48 32      2633     -213.073   -213.033   0.0405081   17       1014     
 4323.17 32      2650     -213.073   -213.033   0.0405081   17       1031     
 4338.81 33      2739     -213.071   -213.033   0.03812     21       1067     
 4342.06 33      2750     -213.071   -213.033   0.03812     21       1078     
 4360.39 34      2849     -213.069   -213.033   0.0363678   20       1121     
 4360.54 34      2850     -213.069   -213.033   0.0363678   21       1121     
 4366.52 34      2900     -213.069   -213.033   0.0363678   20       1139     
 4369.63 35      2965     -213.068   -213.033   0.0354274   19       1146     
 4373.56 35      3000     -213.068   -213.033   0.0354274   19       1158     
 4382.26 36      3083     -213.067   -213.033   0.0342501   19       1179     
 4385.17 36      3100     -213.067   -213.033   0.0342501   20       1188     
 4387    37      3201     -213.066   -213.033   0.0334236   22       1192     
 4387.16 37      3202     -213.066   -213.033   0.0334236   22       1192     
 4395.73 37      3250     -213.066   -213.033   0.0334236   22       1219     
 4399.42 38      3321     -213.065   -213.033   0.0324089   19       1228     
 4404.01 38      3350     -213.065   -213.033   0.0324089   20       1242     
 4414.59 39      3441     -213.064   -213.033   0.0318144   22       1268     
 4417.82 39      3450     -213.064   -213.033   0.0318144   22       1277     
 4434.33 40      3557     -213.064   -213.033   0.0314689   24       1316     
 4434.81 40      3558     -213.064   -213.033   0.0314689   23       1317     
 4452.53 40      3600     -213.064   -213.033   0.0314689   20       1357     
 4459.03 41      3673     -213.063   -213.033   0.0303825   25       1370     
 4464.84 41      3700     -213.063   -213.033   0.0303825   26       1386     
 4475.04 42      3793     -213.062   -213.033   0.0297314   20       1408     
 4476.6  42      3800     -213.062   -213.033   0.0297314   20       1412     
 4485.02 42      3850     -213.062   -213.033   0.0297314   17       1431     
 4485.9  43      3911     -213.062   -213.033   0.0291845   20       1432     
 4492.44 43      3950     -213.062   -213.033   0.0291845   20       1449     
 4501.22 44      4027     -213.061   -213.033   0.0286484   22       1468     
 4506.59 44      4050     -213.061   -213.033   0.0286484   19       1481     
 4510.08 45      4141     -213.06    -213.033   0.0277611   24       1488     
 4511.72 45      4150     -213.06    -213.033   0.0277611   27       1492     
 4523.75 46      4257     -213.06    -213.033   0.0271685   25       1520     
 4524.28 46      4258     -213.06    -213.033   0.0271685   24       1521     
