
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3e57963970.pomdpx
  loading time : 4.82s 

SARSOP initializing ...
  initialization time : 7003.18s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 7003.18 0       0        -210.089   -192.026   18.0634     101      1        
 7004.13 1       69       -198.841   -192.517   6.32386     18       22       
 7004.41 1       100      -198.841   -192.517   6.32386     32       29       
 7005.1  2       163      -197.243   -192.517   4.72576     28       39       
 7005.53 2       200      -197.243   -192.517   4.72576     33       48       
 7005.85 3       259      -196.202   -192.517   3.68452     30       51       
 7005.91 3       300      -196.202   -192.517   3.68452     32       51       
 7006.12 4       359      -195.545   -192.517   3.0274      27       54       
 7006.17 4       400      -195.545   -192.517   3.0274      26       54       
 7006.4  5       467      -195.101   -192.517   2.58348     24       57       
 7006.45 5       500      -195.101   -192.517   2.58348     28       57       
 7006.67 6       579      -194.74    -192.517   2.22236     29       59       
 7006.7  6       600      -194.74    -192.517   2.22236     34       59       
 7007.01 7       695      -194.435   -192.517   1.91817     25       62       
 7007.03 7       700      -194.435   -192.517   1.91817     30       62       
 7007.11 7       750      -194.435   -192.517   1.91817     40       62       
 7007.25 8       811      -194.203   -192.517   1.68602     46       62       
 7007.31 8       850      -194.203   -192.517   1.68602     34       62       
 7007.56 9       929      -194.024   -192.517   1.50701     43       65       
 7007.6  9       950      -194.024   -192.517   1.50701     32       65       
 7007.85 10      1049     -193.881   -192.517   1.36392     53       67       
 7007.86 10      1050     -193.881   -192.517   1.36392     54       67       
 7007.93 10      1100     -193.881   -192.517   1.36392     43       67       
 7008.29 11      1171     -193.766   -192.517   1.24885     35       72       
 7008.34 11      1200     -193.766   -192.517   1.24885     35       72       
 7008.65 12      1295     -193.666   -192.517   1.14906     27       75       
 7008.67 12      1300     -193.666   -192.517   1.14906     32       75       
 7008.73 12      1350     -193.666   -192.517   1.14906     29       75       
 7009.03 13      1421     -193.576   -192.517   1.05867     37       78       
 7009.08 13      1450     -193.576   -192.517   1.05867     39       78       
 7009.37 14      1549     -193.502   -192.517   0.984838    24       80       
 7009.39 14      1550     -193.502   -192.517   0.984838    21       80       
 7009.46 14      1600     -193.502   -192.517   0.984838    21       80       
 7009.7  15      1677     -193.436   -192.517   0.918477    21       82       
 7009.74 15      1700     -193.436   -192.517   0.918477    18       82       
 7010.07 16      1807     -193.371   -192.517   0.854201    14       85       
 7010.09 16      1808     -193.371   -192.517   0.854201    14       85       
 7010.15 16      1850     -193.371   -192.517   0.854201    13       85       
 7010.47 17      1937     -193.317   -192.517   0.799838    17       88       
 7010.5  17      1950     -193.317   -192.517   0.799838    15       88       
 7010.65 17      2000     -193.317   -192.517   0.799838    16       90       
 7010.84 18      2067     -193.269   -192.517   0.752168    15       91       
 7010.9  18      2100     -193.269   -192.517   0.752168    14       91       
 7011.24 19      2199     -193.225   -192.517   0.707782    12       94       
 7011.25 19      2200     -193.225   -192.517   0.707782    12       94       
 7011.33 19      2250     -193.225   -192.517   0.707782    10       94       
 7011.64 20      2331     -193.188   -192.517   0.670794    10       97       
 7011.88 20      2350     -193.188   -192.517   0.670794    9        101      
 7012.39 21      2463     -193.151   -192.517   0.633949    9        104      
 7012.41 21      2464     -193.151   -192.517   0.633949    9        104      
 7012.47 21      2500     -193.151   -192.517   0.633949    6        104      
 7012.68 22      2595     -193.12    -192.517   0.603121    6        105      
 7012.71 22      2600     -193.12    -192.517   0.603121    6        105      
 7012.78 22      2650     -193.12    -192.517   0.603121    7        105      
 7012.99 23      2729     -193.088   -192.517   0.570966    8        106      
 7013.03 23      2750     -193.088   -192.517   0.570966    6        106      
 7013.58 24      2863     -193.06    -192.517   0.542513    8        111      
 7013.65 24      2864     -193.06    -192.517   0.542513    7        112      
 7014    24      2900     -193.06    -192.517   0.542513    7        116      
 7014.74 25      2997     -193.032   -192.517   0.514647    7        120      
 7014.77 25      3000     -193.032   -192.517   0.514647    6        120      
 7014.85 25      3050     -193.032   -192.517   0.514647    8        120      
 7015.33 26      3131     -193.005   -192.517   0.487286    8        124      
 7015.38 26      3150     -193.005   -192.517   0.487286    7        124      
 7015.8  27      3265     -192.982   -192.517   0.464377    9        127      
 7015.83 27      3266     -192.982   -192.517   0.464377    9        127      
 7015.89 27      3300     -192.982   -192.517   0.464377    7        127      
 7016.29 28      3399     -192.964   -192.517   0.447003    6        130      
 7016.32 28      3400     -192.964   -192.517   0.447003    6        130      
 7016.4  28      3450     -192.964   -192.517   0.447003    7        130      
 7016.78 29      3535     -192.945   -192.517   0.428222    9        133      
 7016.82 29      3550     -192.945   -192.517   0.428222    6        133      
 7017.32 29      3600     -192.945   -192.517   0.428222    6        138      
 7017.74 30      3671     -192.927   -192.517   0.409314    8        140      
 7017.8  30      3700     -192.927   -192.517   0.409314    7        140      
 7018.08 31      3807     -192.91    -192.517   0.39241     8        141      
 7018.11 31      3808     -192.91    -192.517   0.39241     8        141      
 7018.18 31      3850     -192.91    -192.517   0.39241     7        141      
 7018.84 32      3943     -192.895   -192.517   0.377754    7        147      
 7019.25 32      3950     -192.895   -192.517   0.377754    6        152      
 7019.72 32      4000     -192.895   -192.517   0.377754    7        155      
 7020.68 33      4079     -192.88    -192.517   0.363008    9        159      
 7021.37 33      4100     -192.88    -192.517   0.363008    8        165      
 7022.33 34      4213     -192.863   -192.517   0.346018    9        168      
 7022.36 34      4214     -192.863   -192.517   0.346018    9        168      
 7022.44 34      4250     -192.863   -192.517   0.346018    9        168      
 7022.95 35      4349     -192.85    -192.517   0.333018    9        171      
 7022.98 35      4350     -192.85    -192.517   0.333018    9        171      
 7023.43 35      4400     -192.85    -192.517   0.333018    9        175      
 7025.43 36      4485     -192.838   -192.517   0.321202    9        184      
 7025.49 36      4500     -192.838   -192.517   0.321202    8        184      
 7025.67 36      4550     -192.838   -192.517   0.321202    8        185      
 7026.12 37      4621     -192.827   -192.517   0.310041    10       187      
 7026.2  37      4650     -192.827   -192.517   0.310041    10       187      
 7027.32 38      4759     -192.817   -192.517   0.300228    10       194      
 7027.35 38      4760     -192.817   -192.517   0.300228    10       194      
 7028.76 38      4800     -192.817   -192.517   0.300228    11       203      
 7031.19 39      4895     -192.809   -192.517   0.291358    10       211      
 7031.24 39      4900     -192.809   -192.517   0.291358    10       211      
 7031.34 39      4950     -192.809   -192.517   0.291358    10       211      
 7032.59 40      5033     -192.799   -192.517   0.281651    7        217      
 7032.66 40      5050     -192.799   -192.517   0.281651    7        217      
 7032.99 40      5100     -192.799   -192.517   0.281651    7        219      
 7033.34 41      5171     -192.791   -192.517   0.273468    9        220      
 7033.42 41      5200     -192.791   -192.517   0.273468    10       220      
 7034.03 42      5307     -192.783   -192.517   0.265696    7        223      
 7034.07 42      5308     -192.783   -192.517   0.265696    7        223      
 7035.63 42      5350     -192.783   -192.517   0.265696    8        234      
 7036.93 43      5443     -192.775   -192.517   0.257999    10       238      
 7036.98 43      5450     -192.775   -192.517   0.257999    10       238      
 7037.09 43      5500     -192.775   -192.517   0.257999    9        238      
 7038.15 44      5581     -192.768   -192.517   0.250291    7        244      
 7038.22 44      5600     -192.768   -192.517   0.250291    7        244      
 7038.95 45      5650     -192.768   -192.517   0.250291    8        248      
 7039.13 45      5719     -192.76    -192.517   0.24319     9        248      
 7039.21 45      5750     -192.76    -192.517   0.24319     9        248      
 7040.31 46      5857     -192.753   -192.517   0.235643    9        254      
 7040.36 46      5858     -192.753   -192.517   0.235643    9        254      
 7040.54 46      5900     -192.753   -192.517   0.235643    8        255      
 7042.4  47      5995     -192.746   -192.517   0.228964    11       264      
 7042.46 47      6000     -192.746   -192.517   0.228964    10       264      
 7042.57 47      6050     -192.746   -192.517   0.228964    11       264      
 7043.62 48      6131     -192.741   -192.517   0.223232    8        269      
 7044.08 48      6150     -192.741   -192.517   0.223232    8        272      
 7045.06 49      6200     -192.741   -192.517   0.223232    13       277      
 7045.3  49      6269     -192.734   -192.517   0.216319    11       277      
 7046.43 49      6300     -192.734   -192.517   0.216319    11       283      
 7047.99 50      6407     -192.727   -192.517   0.210045    8        289      
 7048.05 50      6408     -192.727   -192.517   0.210045    9        289      
 7048.15 50      6450     -192.727   -192.517   0.210045    9        289      
 7049.01 51      6545     -192.722   -192.517   0.204215    10       293      
 7049.35 51      6550     -192.722   -192.517   0.204215    10       295      
 7049.69 51      6600     -192.722   -192.517   0.204215    10       297      
 7050.7  52      6683     -192.716   -192.517   0.198554    8        302      
