
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3e57d59ee5.pomdpx
  loading time : 4.61s 

SARSOP initializing ...
  initialization time : 1393.49s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1393.49 0       0        -9590.2    -8808.1    782.092     101      1        
 1393.82 0       50       -9589.18   -9505.11   84.0675     65       6        
 1393.97 0       100      -9589.18   -9505.11   84.0675     60       6        
 1394.13 0       150      -9589.18   -9505.11   84.0675     66       6        
 1395.28 1       319      -9546.9    -9505.14   41.7606     60       11       
 1395.28 1       320      -9546.9    -9505.14   41.7606     61       11       
 1395.29 1       321      -9546.9    -9505.14   41.7606     62       11       
 1395.33 1       350      -9546.9    -9505.14   41.7606     69       11       
 1395.4  1       400      -9546.9    -9505.14   41.7606     64       11       
 1400.44 2       579      -9518.2    -9505.26   12.9356     13       35       
 1400.67 2       580      -9518.2    -9505.26   12.9356     11       36       
 1400.95 2       581      -9518.2    -9505.26   12.9356     11       37       
 1401.8  2       600      -9518.2    -9505.26   12.9356     9        41       
 1401.86 2       650      -9518.2    -9505.26   12.9356     9        41       
 1405.9  2       700      -9518.2    -9505.26   12.9356     11       54       
 1412.6  3       857      -9510.51   -9505.34   5.16443     10       65       
 1412.62 3       858      -9510.51   -9505.34   5.16443     9        65       
 1413.09 3       859      -9510.51   -9505.34   5.16443     9        66       
 1414.04 3       900      -9510.51   -9505.34   5.16443     9        68       
 1415.05 3       950      -9510.51   -9505.34   5.16443     10       70       
 1421.53 3       1000     -9510.51   -9505.34   5.16443     12       82       
 1429.17 4       1179     -9508.61   -9505.38   3.23784     15       91       
 1429.77 4       1180     -9508.61   -9505.38   3.23784     15       92       
 1430.39 4       1181     -9508.61   -9505.38   3.23784     15       93       
 1430.45 4       1200     -9508.61   -9505.38   3.23784     15       93       
 1435.06 4       1250     -9508.61   -9505.38   3.23784     13       101      
 1436.43 4       1300     -9508.61   -9505.38   3.23784     14       103      
 1454.03 5       1505     -9507.36   -9505.39   1.97662     14       124      
 1454.81 5       1506     -9507.36   -9505.39   1.97662     14       125      
 1455.3  5       1507     -9507.36   -9505.39   1.97662     14       126      
 1455.33 5       1508     -9507.36   -9505.39   1.97662     14       126      
 1457.27 5       1550     -9507.36   -9505.39   1.97662     15       129      
 1463.94 5       1600     -9507.36   -9505.39   1.97662     14       138      
