
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3e59b75aa5.pomdpx
  loading time : 4.69s 

SARSOP initializing ...
  initialization time : 3020.53s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 3020.53 0       0        -9103.61   -7018.29   2085.32     101      1        
 3020.99 0       50       -9102.68   -8632.49   470.186     57       7        
 3021.14 0       100      -9102.68   -8632.49   470.186     52       7        
 3022.86 1       277      -8919.84   -8632.54   287.293     52       16       
 3022.86 1       278      -8919.84   -8632.54   287.293     53       16       
 3022.86 1       279      -8919.84   -8632.54   287.293     54       16       
 3022.9  1       300      -8919.84   -8632.54   287.293     53       16       
 3022.99 1       350      -8919.84   -8632.54   287.293     59       16       
 3023.07 1       400      -8919.84   -8632.54   287.293     54       16       
 3024.4  2       575      -8866.14   -8632.56   233.573     53       22       
 3024.41 2       576      -8866.14   -8632.56   233.573     54       22       
 3024.41 2       577      -8866.14   -8632.56   233.573     55       22       
 3024.46 2       600      -8866.14   -8632.56   233.573     55       22       
 3024.55 2       650      -8866.14   -8632.56   233.573     61       22       
 3024.64 2       700      -8866.14   -8632.56   233.573     56       22       
 3028.07 3       851      -8787.84   -8632.63   155.204     13       34       
 3028.07 3       852      -8787.84   -8632.63   155.204     10       34       
 3028.08 3       853      -8787.84   -8632.63   155.204     10       34       
 3028.14 3       900      -8787.84   -8632.63   155.204     9        34       
 3028.2  3       950      -8787.84   -8632.63   155.204     6        34       
 3034.24 4       1147     -8754.2    -8632.7    121.5       9        50       
 3034.24 4       1148     -8754.2    -8632.7    121.5       9        50       
 3034.26 4       1149     -8754.2    -8632.7    121.5       9        50       
 3034.26 4       1150     -8754.2    -8632.7    121.5       9        50       
 3034.34 4       1200     -8754.2    -8632.7    121.5       9        50       
 3034.41 4       1250     -8754.2    -8632.7    121.5       9        50       
 3039.72 5       1445     -8727.51   -8632.73   94.7772     7        59       
 3039.73 5       1446     -8727.51   -8632.73   94.7772     7        59       
 3039.74 5       1447     -8727.51   -8632.73   94.7772     7        59       
 3039.76 5       1450     -8727.51   -8632.73   94.7772     8        59       
 3039.84 5       1500     -8727.51   -8632.73   94.7772     8        59       
 3040.86 5       1550     -8727.51   -8632.73   94.7772     7        61       
 3047.85 6       1741     -8706.15   -8632.75   73.4        8        71       
 3047.87 6       1742     -8706.15   -8632.75   73.4        8        71       
 3047.88 6       1743     -8706.15   -8632.75   73.4        8        71       
 3047.91 6       1750     -8706.15   -8632.75   73.4        8        71       
 3047.99 6       1800     -8706.15   -8632.75   73.4        8        71       
 3048.54 6       1850     -8706.15   -8632.75   73.4        9        72       
 3056.88 7       2039     -8692.09   -8632.76   59.3296     8        84       
