
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3e5e6d6521.pomdpx
  loading time : 4.68s 

SARSOP initializing ...
  initialization time : 7993.93s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 7993.93 0       0        -317.845   -308.291   9.5539      101      1        
 7994.69 1       50       -316.347   -308.566   7.78137     13       20       
 7994.84 1       100      -314.196   -308.566   5.63042     7        20       
 7994.97 1       150      -314.196   -308.566   5.63042     14       23       
 7995.11 2       205      -313.05    -308.566   4.48448     5        24       
 7995.39 2       250      -313.05    -308.566   4.48448     32       30       
 7995.8  3       319      -312.143   -308.566   3.57729     7        35       
 7995.84 3       350      -312.143   -308.566   3.57729     23       35       
 7996.29 4       441      -311.597   -308.566   3.03098     13       42       
 7996.31 4       450      -311.597   -308.566   3.03098     22       42       
 7996.37 4       500      -311.597   -308.566   3.03098     16       42       
 7996.6  5       571      -311.241   -308.566   2.67564     13       45       
 7996.64 5       600      -311.241   -308.566   2.67564     23       45       
 7996.92 6       703      -310.982   -308.566   2.41648     11       48       
 7996.93 6       704      -310.982   -308.566   2.41648     12       48       
 7996.98 6       750      -310.982   -308.566   2.41648     20       48       
 7997.24 7       837      -310.772   -308.566   2.20633     19       51       
 7997.27 7       850      -310.772   -308.566   2.20633     20       51       
 7997.33 7       900      -310.772   -308.566   2.20633     24       51       
 7997.51 8       969      -310.602   -308.566   2.0363      18       52       
 7997.55 8       1000     -310.602   -308.566   2.0363      17       52       
 7997.99 9       1101     -310.447   -308.566   1.88152     14       58       
 7998    9       1102     -310.447   -308.566   1.88152     15       58       
 7998.06 9       1150     -310.447   -308.566   1.88152     24       58       
 7998.38 10      1237     -310.329   -308.566   1.76326     16       62       
 7998.4  10      1250     -310.329   -308.566   1.76326     17       62       
 7998.47 10      1300     -310.329   -308.566   1.76326     19       62       
 7998.79 11      1373     -310.232   -308.566   1.66666     16       66       
 7998.84 11      1400     -310.232   -308.566   1.66666     24       66       
 7999.13 12      1507     -310.13    -308.566   1.56473     28       69       
 7999.15 12      1508     -310.13    -308.566   1.56473     29       69       
 7999.21 12      1550     -310.13    -308.566   1.56473     48       69       
 7999.63 13      1643     -310.065   -308.566   1.49953     30       73       
 7999.66 13      1650     -310.065   -308.566   1.49953     37       73       
 7999.73 13      1700     -310.065   -308.566   1.49953     9        73       
 8000.58 14      1779     -310.004   -308.566   1.43779     15       81       
 8000.62 14      1800     -310.004   -308.566   1.43779     15       81       
 8000.86 15      1915     -309.942   -308.566   1.37612     14       82       
 8000.87 15      1916     -309.942   -308.566   1.37612     14       82       
 8000.93 15      1950     -309.942   -308.566   1.37612     11       82       
 8001.26 16      2051     -309.898   -308.566   1.33192     11       85       
 8001.28 16      2052     -309.898   -308.566   1.33192     11       85       
 8001.34 16      2100     -309.898   -308.566   1.33192     11       85       
 8001.63 17      2187     -309.834   -308.566   1.26865     13       87       
 8001.66 17      2200     -309.834   -308.566   1.26865     12       87       
 8001.77 17      2250     -309.834   -308.566   1.26865     13       88       
 8002.25 18      2323     -309.776   -308.566   1.21069     10       92       
 8002.3  18      2350     -309.776   -308.566   1.21069     8        92       
 8003.08 19      2461     -309.726   -308.566   1.16021     7        99       
 8003.1  19      2462     -309.726   -308.566   1.16021     7        99       
 8003.16 19      2500     -309.726   -308.566   1.16021     5        99       
 8005.56 20      2597     -309.673   -308.566   1.10698     7        114      
 8005.58 20      2600     -309.673   -308.566   1.10698     6        114      
 8005.66 20      2650     -309.673   -308.566   1.10698     6        114      
 8006.03 21      2735     -309.628   -308.566   1.06245     5        116      
 8006.07 21      2750     -309.628   -308.566   1.06245     6        116      
 8006.52 21      2800     -309.628   -308.566   1.06245     8        120      
 8006.94 22      2871     -309.6     -308.566   1.03451     9        122      
 8006.99 22      2900     -309.6     -308.566   1.03451     6        122      
 8008.14 23      3007     -309.567   -308.566   1.00148     7        130      
 8008.17 23      3008     -309.567   -308.566   1.00148     7        130      
 8008.24 23      3050     -309.567   -308.566   1.00148     5        130      
 8009.28 24      3143     -309.524   -308.566   0.957935    6        138      
 8009.31 24      3150     -309.524   -308.566   0.957935    6        138      
 8009.54 24      3200     -309.524   -308.566   0.957935    7        140      
 8011.1  25      3279     -309.475   -308.566   0.908781    7        150      
 8011.16 25      3300     -309.475   -308.566   0.908781    7        150      
 8012.32 26      3417     -309.446   -308.566   0.88017     7        157      
 8012.48 26      3418     -309.446   -308.566   0.88017     8        158      
 8013.25 26      3450     -309.446   -308.566   0.88017     9        163      
 8014.64 27      3555     -309.429   -308.566   0.862679    12       168      
 8014.67 27      3556     -309.429   -308.566   0.862679    12       168      
 8014.77 27      3600     -309.429   -308.566   0.862679    8        168      
 8016.38 28      3693     -309.397   -308.566   0.830774    8        176      
 8016.42 28      3700     -309.397   -308.566   0.830774    6        176      
 8016.51 28      3750     -309.397   -308.566   0.830774    6        176      
 8017.06 29      3831     -309.37    -308.566   0.804435    8        179      
 8017.11 29      3850     -309.37    -308.566   0.804435    6        179      
 8018.3  30      3900     -309.37    -308.566   0.804435    9        186      
 8018.49 30      3969     -309.344   -308.566   0.777877    9        186      
 8018.56 30      4000     -309.344   -308.566   0.777877    7        186      
 8019.28 31      4107     -309.318   -308.566   0.751749    9        190      
 8019.32 31      4108     -309.318   -308.566   0.751749    9        190      
 8019.41 31      4150     -309.318   -308.566   0.751749    7        190      
 8020.38 32      4245     -309.292   -308.566   0.726532    9        195      
 8020.43 32      4250     -309.292   -308.566   0.726532    8        195      
 8020.52 32      4300     -309.292   -308.566   0.726532    8        195      
 8020.84 33      4381     -309.277   -308.566   0.711552    11       196      
