
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3e60f06811.pomdpx
  loading time : 4.54s 

SARSOP initializing ...
  initialization time : 6315.08s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 6315.08 0       0        -2624.33   -148.59    2475.74     101      1        
 6318.01 1       91       -2612.47   -2607.45   5.02116     60       29       
 6318.66 1       100      -2612.47   -2607.45   5.02116     69       38       
 6319.18 1       150      -2612.47   -2607.45   5.02116     50       45       
 6320.14 2       235      -2611.45   -2607.45   4.00299     63       51       
 6320.74 2       250      -2611.45   -2607.45   4.00299     47       62       
 6321.42 3       363      -2610      -2607.45   2.55401     73       66       
 6321.43 3       364      -2610      -2607.45   2.55401     74       66       
 6321.88 3       400      -2610      -2607.45   2.55401     63       73       
 6322.18 3       450      -2610      -2607.45   2.55401     80       76       
 6322.86 4       543      -2609.71   -2607.45   2.25899     53       79       
 6323.41 4       550      -2609.71   -2607.45   2.25899     35       85       
 6323.54 4       600      -2609.71   -2607.45   2.25899     36       85       
 6324.41 5       725      -2609.61   -2607.45   2.16015     41       88       
 6324.44 5       726      -2609.61   -2607.45   2.16015     39       88       
 6324.58 5       750      -2609.61   -2607.45   2.16015     37       89       
 6324.7  5       800      -2609.61   -2607.45   2.16015     35       89       
 6325.4  6       903      -2609.44   -2607.45   1.99551     33       92       
 6325.43 6       904      -2609.44   -2607.45   1.99551     33       92       
 6325.56 6       950      -2609.44   -2607.45   1.99551     29       92       
 6326.45 7       1075     -2609.3    -2607.45   1.84826     29       96       
 6326.47 7       1076     -2609.3    -2607.45   1.84826     29       96       
 6326.55 7       1100     -2609.3    -2607.45   1.84826     24       96       
 6326.66 7       1150     -2609.3    -2607.45   1.84826     21       96       
 6327.34 8       1243     -2609.21   -2607.45   1.7605      18       99       
 6327.84 8       1250     -2609.21   -2607.45   1.7605      17       103      
 6327.94 8       1300     -2609.21   -2607.45   1.7605      15       103      
 6328.98 9       1405     -2609.12   -2607.45   1.66938     13       108      
 6329.11 9       1406     -2609.12   -2607.45   1.66938     9        109      
 6330.22 9       1450     -2609.12   -2607.45   1.66938     7        117      
 6330.58 10      1559     -2608.82   -2607.45   1.37546     7        118      
 6330.61 10      1560     -2608.82   -2607.45   1.37546     8        118      
 6330.79 10      1600     -2608.82   -2607.45   1.37546     9        120      
 6331.76 11      1735     -2608.73   -2607.45   1.28637     10       126      
 6331.79 11      1736     -2608.73   -2607.45   1.28637     10       126      
 6331.84 11      1750     -2608.73   -2607.45   1.28637     10       126      
 6331.94 11      1800     -2608.73   -2607.45   1.28637     11       126      
 6332.39 12      1909     -2608.68   -2607.45   1.23283     13       128      
 6332.42 12      1910     -2608.68   -2607.45   1.23283     12       128      
 6332.52 12      1950     -2608.68   -2607.45   1.23283     11       128      
 6333.12 13      2079     -2608.63   -2607.45   1.18569     13       131      
 6333.15 13      2080     -2608.63   -2607.45   1.18569     13       131      
 6333.22 13      2100     -2608.63   -2607.45   1.18569     14       131      
 6333.31 13      2150     -2608.63   -2607.45   1.18569     14       131      
 6333.9  14      2245     -2608.59   -2607.45   1.14412     14       134      
 6333.94 14      2250     -2608.59   -2607.45   1.14412     13       134      
 6334.04 14      2300     -2608.59   -2607.45   1.14412     14       134      
 6334.74 15      2407     -2608.55   -2607.45   1.10689     14       137      
 6334.77 15      2408     -2608.55   -2607.45   1.10689     14       137      
 6334.88 15      2450     -2608.55   -2607.45   1.10689     13       137      
 6335.44 16      2565     -2608.52   -2607.45   1.07097     13       139      
 6335.47 16      2566     -2608.52   -2607.45   1.07097     14       139      
 6335.68 16      2600     -2608.52   -2607.45   1.07097     14       141      
 6336.44 17      2719     -2608.49   -2607.45   1.03847     15       144      
 6336.5  17      2720     -2608.49   -2607.45   1.03847     10       145      
 6337.2  17      2750     -2608.49   -2607.45   1.03847     11       153      
 6338.02 18      2865     -2608.22   -2607.45   0.773724    12       157      
 6338.05 18      2866     -2608.22   -2607.45   0.773724    10       157      
 6338.14 18      2900     -2608.22   -2607.45   0.773724    13       157      
 6338.23 18      2950     -2608.22   -2607.45   0.773724    13       157      
 6338.69 19      3057     -2608.18   -2607.45   0.736262    12       159      
