
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3e8cfbfa6.pomdpx
  loading time : 4.64s 

SARSOP initializing ...
  initialization time : 8690.61s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 8690.61 0       0        -6399.8    -185.051   6214.74     101      1        
 8691.23 0       50       -6281.57   -5108.15   1173.42     71       11       
 8691.87 1       187      -5684.75   -5108.15   576.595     81       14       
 8691.87 1       188      -5684.75   -5108.15   576.595     82       14       
 8691.98 1       200      -5684.75   -5108.15   576.595     93       16       
 8692.12 1       250      -5684.75   -5108.15   576.595     113      16       
 8692.84 2       401      -5457.03   -5108.15   348.878     74       19       
 8692.86 2       402      -5457.03   -5108.15   348.878     75       20       
 8692.91 2       403      -5457.03   -5108.15   348.878     76       21       
 8693.19 2       450      -5457.03   -5108.15   348.878     70       24       
 8693.7  3       587      -5262.41   -5108.15   154.26      68       26       
 8693.71 3       588      -5262.41   -5108.15   154.26      69       26       
 8693.74 3       600      -5262.41   -5108.15   154.26      61       26       
 8693.86 3       650      -5262.41   -5108.15   154.26      78       26       
 8694.09 3       700      -5262.41   -5108.15   154.26      77       29       
 8694.54 4       815      -5204.02   -5108.15   95.8691     67       29       
 8694.54 4       816      -5204.02   -5108.15   95.8691     68       29       
 8694.63 4       850      -5204.02   -5108.15   95.8691     92       29       
 8694.75 4       900      -5204.02   -5108.15   95.8691     97       29       
 8695.45 5       1063     -5183.27   -5108.15   75.1151     72       31       
 8695.45 5       1064     -5183.27   -5108.15   75.1151     73       31       
 8695.45 5       1065     -5183.27   -5108.15   75.1151     74       31       
 8695.55 5       1100     -5183.27   -5108.15   75.1151     92       31       
 8695.7  5       1150     -5183.27   -5108.15   75.1151     103      31       
 8696.32 6       1305     -5165.5    -5108.15   57.3534     18       31       
 8696.32 6       1306     -5165.5    -5108.15   57.3534     19       31       
 8696.33 6       1307     -5165.5    -5108.15   57.3534     15       31       
 8696.4  6       1350     -5165.5    -5108.15   57.3534     14       31       
 8696.46 6       1400     -5165.5    -5108.15   57.3534     12       31       
 8696.87 7       1553     -5154.62   -5108.15   46.471      12       33       
 8696.87 7       1554     -5154.62   -5108.15   46.471      11       33       
 8696.88 7       1555     -5154.62   -5108.15   46.471      11       33       
 8696.95 7       1600     -5154.62   -5108.15   46.471      10       33       
 8697    7       1650     -5154.62   -5108.15   46.471      9        33       
 8697.44 8       1805     -5146.24   -5108.15   38.0877     8        35       
 8697.45 8       1806     -5146.24   -5108.15   38.0877     9        35       
 8697.45 8       1807     -5146.24   -5108.15   38.0877     9        35       
