
Loading the model ...
  input file   : /home/rstudio/RAM4_small/3e94f62da.pomdpx
  loading time : 4.52s 

SARSOP initializing ...
  initialization time : 4690.42s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 4690.42 0       0        -243.592   -237.582   6.00909     101      1        
 4692.84 1       77       -240.825   -237.743   3.08139     10       37       
 4693.81 1       100      -240.825   -237.743   3.08139     26       49       
 4694.28 2       159      -240.102   -237.743   2.35933     15       53       
 4696.54 3       229      -239.493   -237.743   1.74961     21       87       
 4696.6  3       250      -239.493   -237.743   1.74961     32       88       
 4696.98 4       303      -239.021   -237.743   1.27754     15       97       
 4698.23 5       391      -238.742   -237.743   0.999297    22       114      
 4698.83 5       400      -238.742   -237.743   0.999297    13       123      
 4699.69 6       479      -238.57    -237.743   0.826635    25       132      
 4699.74 6       500      -238.57    -237.743   0.826635    17       132      
 4700.09 7       561      -238.433   -237.743   0.689743    19       137      
 4700.27 8       600      -238.433   -237.743   0.689743    19       140      
 4700.67 8       650      -238.347   -237.743   0.604083    25       152      
 4702.02 9       711      -238.234   -237.743   0.490824    27       167      
 4703.71 9       750      -238.234   -237.743   0.490824    28       186      
 4703.89 10      800      -238.147   -237.743   0.404104    19       186      
 4704.56 11      893      -238.1     -237.743   0.357233    19       192      
 4705.26 11      900      -238.1     -237.743   0.357233    18       199      
 4706.61 12      1003     -238.073   -237.743   0.329886    20       209      
 4706.71 12      1004     -238.073   -237.743   0.329886    20       210      
 4708    12      1050     -238.073   -237.743   0.329886    15       221      
 4709.02 13      1111     -238.049   -237.743   0.306261    12       227      
 4709.11 13      1150     -238.049   -237.743   0.306261    11       227      
 4709.57 14      1223     -238.035   -237.743   0.291608    10       231      
 4710.57 14      1250     -238.035   -237.743   0.291608    10       242      
 4711.24 15      1335     -238.014   -237.743   0.270636    10       247      
 4712.44 15      1350     -238.014   -237.743   0.270636    11       259      
 4713.2  16      1447     -238       -237.743   0.256461    10       263      
 4713.24 16      1450     -238       -237.743   0.256461    10       263      
 4713.34 16      1500     -238       -237.743   0.256461    9        263      
 4713.7  17      1559     -237.993   -237.743   0.249458    12       266      
 4714.86 17      1600     -237.993   -237.743   0.249458    11       277      
 4715.29 18      1667     -237.974   -237.743   0.231121    9        280      
 4715.37 18      1700     -237.974   -237.743   0.231121    10       280      
 4715.84 19      1779     -237.961   -237.743   0.217292    9        284      
 4717.21 19      1800     -237.961   -237.743   0.217292    9        297      
 4717.81 20      1891     -237.947   -237.743   0.203655    10       300      
 4718.42 20      1900     -237.947   -237.743   0.203655    12       306      
 4721.08 21      1999     -237.938   -237.743   0.194925    12       324      
 4721.22 21      2000     -237.938   -237.743   0.194925    13       325      
 4723.41 21      2050     -237.938   -237.743   0.194925    13       338      
 4723.68 22      2103     -237.921   -237.743   0.178159    13       339      
 4725.24 22      2150     -237.921   -237.743   0.178159    12       350      
 4725.92 23      2215     -237.91    -237.743   0.166403    10       353      
 4726.03 23      2250     -237.91    -237.743   0.166403    10       353      
 4726.53 24      2329     -237.9     -237.743   0.1566      9        356      
 4728    24      2350     -237.9     -237.743   0.1566      10       367      
 4728.52 25      2447     -237.894   -237.743   0.150181    9        369      
 4728.67 25      2450     -237.894   -237.743   0.150181    10       370      
 4729.71 25      2500     -237.894   -237.743   0.150181    10       377      
 4730.18 26      2559     -237.888   -237.743   0.144949    11       379      
 4730.3  26      2600     -237.888   -237.743   0.144949    13       379      
 4730.92 27      2669     -237.879   -237.743   0.135374    13       383      
 4732.3  27      2700     -237.879   -237.743   0.135374    13       393      
 4733.11 28      2783     -237.873   -237.743   0.129968    12       397      
 4733.2  28      2800     -237.873   -237.743   0.129968    14       397      
 4733.78 29      2895     -237.869   -237.743   0.125572    11       400      
 4734.53 29      2900     -237.869   -237.743   0.125572    11       405      
 4735.82 29      2950     -237.869   -237.743   0.125572    13       413      
 4736.02 30      3007     -237.863   -237.743   0.119617    9        413      
 4736.15 30      3050     -237.863   -237.743   0.119617    11       413      
 4736.55 31      3119     -237.855   -237.743   0.112082    12       415      
 4737.22 31      3150     -237.855   -237.743   0.112082    14       420      
 4737.9  32      3235     -237.851   -237.743   0.107661    16       424      
 4740.34 32      3250     -237.851   -237.743   0.107661    14       439      
 4744.24 33      3349     -237.845   -237.743   0.1014      15       456      
 4744.31 33      3350     -237.845   -237.743   0.1014      15       456      
 4744.45 33      3400     -237.845   -237.743   0.1014      15       456      
 4745.05 34      3463     -237.84    -237.743   0.0966945   15       459      
 4745.99 34      3500     -237.84    -237.743   0.0966945   11       465      
 4746.96 35      3579     -237.836   -237.743   0.0926701   12       470      
 4748.88 35      3600     -237.836   -237.743   0.0926701   13       483      
 4750.16 36      3695     -237.832   -237.743   0.0884127   13       490      
 4751    36      3700     -237.832   -237.743   0.0884127   13       495      
 4752.24 36      3750     -237.832   -237.743   0.0884127   13       502      
 4753.21 37      3813     -237.828   -237.743   0.0845291   13       506      
 4755.45 37      3850     -237.828   -237.743   0.0845291   14       518      
 4756.8  38      3931     -237.826   -237.743   0.0826353   13       523      
 4758.22 38      3950     -237.826   -237.743   0.0826353   15       531      
 4760.31 39      4045     -237.822   -237.743   0.0788686   15       540      
 4760.89 39      4050     -237.822   -237.743   0.0788686   15       543      
 4764.14 39      4100     -237.822   -237.743   0.0788686   15       558      
 4764.41 40      4157     -237.819   -237.743   0.0753209   13       558      
 4771.38 40      4200     -237.819   -237.743   0.0753209   15       588      
 4773.36 41      4267     -237.815   -237.743   0.0718559   12       594      
 4775.75 41      4300     -237.815   -237.743   0.0718559   13       604      
 4777.64 42      4379     -237.812   -237.743   0.0688361   13       610      
 4780.68 42      4400     -237.812   -237.743   0.0688361   15       623      
 4782.31 43      4493     -237.809   -237.743   0.0652592   13       628      
 4782.42 43      4500     -237.809   -237.743   0.0652592   14       628      
 4783.4  43      4550     -237.809   -237.743   0.0652592   14       632      
 4783.8  44      4609     -237.807   -237.743   0.0631276   15       633      
 4786.5  44      4650     -237.807   -237.743   0.0631276   14       645      
 4787.43 45      4727     -237.804   -237.743   0.0602649   15       648      
 4787.57 45      4750     -237.804   -237.743   0.0602649   13       648      
 4788.61 46      4849     -237.802   -237.743   0.0585081   14       652      
 4788.71 46      4850     -237.802   -237.743   0.0585081   13       652      
 4788.89 46      4900     -237.802   -237.743   0.0585081   12       652      
 4789.98 47      4971     -237.8     -237.744   0.0563498   15       657      
 4791.59 47      5000     -237.8     -237.744   0.0563498   14       665      
 4792.96 48      5095     -237.798   -237.744   0.054896    16       671      
 4793.63 48      5100     -237.798   -237.744   0.054896    17       674      
 4794.95 48      5150     -237.798   -237.744   0.054896    17       680      
 4795.89 49      5221     -237.797   -237.744   0.0535022   15       683      
 4797.58 49      5250     -237.797   -237.744   0.0535022   13       691      
 4798.5  50      5345     -237.796   -237.744   0.0525431   14       694      
 4798.62 50      5350     -237.796   -237.744   0.0525431   15       694      
 4798.79 50      5400     -237.796   -237.744   0.0525431   15       694      
 4799.69 51      5467     -237.796   -237.744   0.0520285   17       698      
 4800.94 51      5500     -237.796   -237.744   0.0520285   17       704      
 4801.65 52      5587     -237.795   -237.744   0.0511228   12       706      
 4803.76 52      5600     -237.795   -237.744   0.0511228   12       716      
 4805.95 53      5705     -237.794   -237.744   0.0501535   14       725      
 4806.05 53      5706     -237.794   -237.744   0.0501535   15       725      
 4808.39 53      5750     -237.794   -237.744   0.0501535   14       735      
 4809.89 54      5821     -237.792   -237.744   0.0483047   16       740      
 4810.05 54      5850     -237.792   -237.744   0.0483047   18       740      
 4811.35 55      5941     -237.791   -237.744   0.0471117   17       745      
 4812.59 55      5950     -237.791   -237.744   0.0471117   16       751      
 4819    56      6000     -237.791   -237.744   0.0471117   17       777      
 4819.29 56      6059     -237.789   -237.744   0.0452643   18       777      
 4819.48 56      6100     -237.789   -237.744   0.0452643   16       777      
 4820.12 57      6177     -237.788   -237.744   0.0441828   15       779      
 4822.71 57      6200     -237.788   -237.744   0.0441828   15       790      
 4824.79 58      6295     -237.787   -237.744   0.0432208   14       797      
 4824.92 58      6300     -237.787   -237.744   0.0432208   15       797      
 4828.97 58      6350     -237.787   -237.744   0.0432208   16       812      
 4829.72 59      6411     -237.786   -237.744   0.0424411   16       814      
 4834.72 59      6450     -237.786   -237.744   0.0424411   16       834      
 4836.2  60      6523     -237.784   -237.744   0.0403968   16       838      
 4842.11 60      6550     -237.784   -237.744   0.0403968   14       860      
 4844.99 61      6639     -237.783   -237.744   0.0393297   16       867      
 4845.16 61      6650     -237.783   -237.744   0.0393297   15       867      
 4847.24 62      6757     -237.782   -237.744   0.038149    16       873      
 4847.37 62      6758     -237.782   -237.744   0.038149    16       873      
 4847.6  62      6800     -237.782   -237.744   0.038149    15       873      
 4849.13 63      6877     -237.781   -237.744   0.0374665   15       878      
 4851.9  63      6900     -237.781   -237.744   0.0374665   14       888      
 4856.21 64      6995     -237.78    -237.744   0.0366157   16       901      
 4857.8  64      7000     -237.78    -237.744   0.0366157   15       906      
 4860.45 64      7050     -237.78    -237.744   0.0366157   15       914      
 4861.78 65      7113     -237.778   -237.744   0.0348784   17       917      
 4864.82 65      7150     -237.778   -237.744   0.0348784   16       927      
 4866.98 66      7239     -237.778   -237.744   0.0339753   15       933      
 4869    66      7250     -237.778   -237.744   0.0339753   17       941      
 4871.61 66      7300     -237.778   -237.744   0.0339753   17       950      
 4872.23 67      7365     -237.777   -237.744   0.0334849   18       951      
 4874.37 67      7400     -237.777   -237.744   0.0334849   19       959      
 4878.84 68      7489     -237.777   -237.744   0.0331188   18       973      
 4879.02 68      7500     -237.777   -237.744   0.0331188   20       973      
 4880.87 69      7550     -237.777   -237.744   0.0331188   18       979      
 4881.18 69      7611     -237.776   -237.744   0.0322538   19       979      
 4881.42 69      7650     -237.776   -237.744   0.0322538   20       979      
 4883.09 70      7735     -237.776   -237.744   0.032019    22       984      
 4886.6  70      7750     -237.776   -237.744   0.032019    19       995      
 4901.59 71      7857     -237.775   -237.744   0.0314231   19       1034     
 4901.75 71      7858     -237.775   -237.744   0.0314231   20       1034     
 4904.61 71      7900     -237.775   -237.744   0.0314231   22       1042     
 4908.66 72      7979     -237.774   -237.744   0.0306566   18       1051     
 4910.77 72      8000     -237.774   -237.744   0.0306566   19       1057     
 4913.32 73      8103     -237.774   -237.744   0.0301981   17       1063     
 4913.75 73      8104     -237.774   -237.744   0.0301981   16       1064     
 4920.51 73      8150     -237.774   -237.744   0.0301981   17       1083     
 4926.07 74      8225     -237.773   -237.744   0.0296998   21       1095     
 4926.3  74      8250     -237.773   -237.744   0.0296998   18       1095     
 4930.7  75      8347     -237.773   -237.744   0.0291739   19       1106     
 4930.87 75      8350     -237.773   -237.744   0.0291739   19       1106     
 4931.14 75      8400     -237.773   -237.744   0.0291739   18       1106     
 4933.42 76      8467     -237.772   -237.744   0.0289206   16       1112     
 4939.78 76      8500     -237.772   -237.744   0.0289206   16       1130     
 4943.42 77      8585     -237.772   -237.744   0.0281015   17       1138     
 4945.01 77      8600     -237.772   -237.744   0.0281015   21       1142     
 4947.13 78      8707     -237.771   -237.744   0.0278578   20       1146     
 4947.3  78      8708     -237.771   -237.744   0.0278578   20       1146     
 4947.59 78      8750     -237.771   -237.744   0.0278578   21       1146     
 4951.56 79      8829     -237.771   -237.744   0.0277133   29       1156     
 4954.1  79      8850     -237.771   -237.744   0.0277133   23       1163     
 4956.08 80      8951     -237.771   -237.744   0.0273102   21       1167     
 4956.56 80      8952     -237.771   -237.744   0.0273102   22       1168     
 4966.43 80      9000     -237.771   -237.744   0.0273102   23       1191     
 4972.61 81      9073     -237.771   -237.744   0.026959    21       1203     
 4979.56 81      9100     -237.771   -237.744   0.026959    19       1219     
 4983.97 82      9193     -237.77    -237.744   0.026266    20       1227     
 4985.68 82      9200     -237.77    -237.744   0.026266    20       1231     
 4991.48 82      9250     -237.77    -237.744   0.026266    20       1244     
 4992.77 83      9313     -237.769   -237.744   0.0258446   20       1246     
 4997    83      9350     -237.769   -237.744   0.0258446   18       1256     
 5002.2  84      9435     -237.769   -237.744   0.0252896   18       1267     
 5008.75 84      9450     -237.769   -237.744   0.0252896   17       1282     
 5020.02 85      9557     -237.768   -237.744   0.0245548   19       1302     
 5020.21 85      9558     -237.768   -237.744   0.0245548   20       1302     
 5022.68 85      9600     -237.768   -237.744   0.0245548   21       1308     
 5026.76 86      9683     -237.768   -237.744   0.0243029   22       1316     
 5029.02 86      9700     -237.768   -237.744   0.0243029   22       1321     
 5033.49 87      9809     -237.768   -237.744   0.0240578   19       1330     
 5034.06 87      9810     -237.768   -237.744   0.0240578   18       1331     
 5039.33 87      9850     -237.768   -237.744   0.0240578   21       1343     
 5047.1  88      9933     -237.767   -237.744   0.0237473   24       1357     
 5050.29 88      9950     -237.767   -237.744   0.0237473   20       1364     
 5054.61 89      10055    -237.767   -237.744   0.0236083   24       1372     
 5054.82 89      10056    -237.767   -237.744   0.0236083   23       1372     
 5065.62 89      10100    -237.767   -237.744   0.0236083   24       1395     
 5068.67 90      10177    -237.767   -237.744   0.0233183   19       1400     
 5068.95 90      10200    -237.767   -237.744   0.0233183   20       1400     
 5072.44 91      10299    -237.767   -237.744   0.0231849   21       1407     
 5073.05 91      10300    -237.767   -237.744   0.0231849   21       1408     
 5076.92 91      10350    -237.767   -237.744   0.0231849   22       1416     
 5081.22 92      10421    -237.766   -237.744   0.0225206   21       1424     
 5081.52 92      10450    -237.766   -237.744   0.0225206   21       1424     
 5084.91 93      10547    -237.766   -237.744   0.0223789   23       1431     
 5085.13 93      10550    -237.766   -237.744   0.0223789   24       1431     
 5085.47 93      10600    -237.766   -237.744   0.0223789   24       1431     
 5089.2  94      10671    -237.766   -237.744   0.022253    21       1439     
 5093.66 94      10700    -237.766   -237.744   0.022253    22       1449     
 5098.72 95      10795    -237.765   -237.744   0.0215912   22       1459     
 5099.78 95      10800    -237.765   -237.744   0.0215912   24       1461     
 5103.97 95      10850    -237.765   -237.744   0.0215912   22       1471     
 5107.69 96      10921    -237.765   -237.744   0.0211703   22       1478     
 5114.86 96      10950    -237.765   -237.744   0.0211703   24       1495     
 5126.55 97      11051    -237.765   -237.744   0.0210645   24       1517     
 5126.77 97      11052    -237.765   -237.744   0.0210645   24       1517     
 5127.13 97      11100    -237.765   -237.744   0.0210645   25       1517     
 5130.23 98      11179    -237.765   -237.744   0.0209135   23       1523     
 5130.53 98      11200    -237.765   -237.744   0.0209135   21       1523     
 5134.72 99      11309    -237.764   -237.744   0.0206597   27       1532     
 5134.95 99      11310    -237.764   -237.744   0.0206597   27       1532     
 5135.29 99      11350    -237.764   -237.744   0.0206597   23       1532     
 5140.03 100     11437    -237.764   -237.744   0.0205925   24       1542     
 5140.31 100     11450    -237.764   -237.744   0.0205925   25       1542     
 5144.5  100     11500    -237.764   -237.744   0.0205925   25       1551     
 5144.98 101     11565    -237.764   -237.744   0.0205185   26       1551     
 5145.33 101     11600    -237.764   -237.744   0.0205185   24       1551     
 5147.66 102     11693    -237.764   -237.744   0.0204425   25       1555     
 5147.92 102     11700    -237.764   -237.744   0.0204425   26       1555     
 5160.39 102     11750    -237.764   -237.744   0.0204425   29       1580     
 5163.74 103     11819    -237.764   -237.744   0.020199    27       1585     
 5175.13 103     11850    -237.764   -237.744   0.020199    27       1606     
 5186.2  104     11945    -237.764   -237.744   0.0201088   26       1623     
 5186.47 104     11950    -237.764   -237.744   0.0201088   24       1623     
 5186.89 104     12000    -237.764   -237.744   0.0201088   24       1623     
 5190.68 105     12071    -237.764   -237.744   0.0200256   27       1629     
 5191.05 105     12100    -237.764   -237.744   0.0200256   27       1629     
 5197.17 106     12197    -237.764   -237.744   0.0198828   26       1640     
 5197.43 106     12200    -237.764   -237.744   0.0198828   25       1640     
